date,source.name,title,description,content,title_len,description_len
2026-06-22,Fark.com,New UK Prime Minister Andy Burham is heckled exactly two seconds after he is sworn in. Burnham's retort would make Brian's Mother proud [Amusing],New UK Prime Minister Andy Burham is heckled exactly two seconds after he is sworn in. Burnham's retort would make Brian's Mother proud,"Olympic Trolling Judge:I Ate Shergar: Sworn in as an MP, subs. He's not PM yet.
Do they even have a swearing-in ceremony for that part, or does someone just hand him the keys to 10 Downing and say ""… [+170 chars]",145,135
2026-06-22,ComputerWeekly.com,How can enterprise AI be made less sycophantic?,"AI tools are increasingly deployed in enterprises, but their sycophancy and unreliability can hamper efficiency. How can organisations take advantage of AI without pain?","The release of ChatGPT in 2022 heralded one of the biggest step changes in technology this decade, with generative AI (GenAI) tools providing the ability to analyse complex data sets faster than ever… [+9288 chars]",47,169
2026-06-22,Slashdot.org,Lessons from the VMwars – nothing virtual about the Broadcom vs Tesco slugfest,"Never get involved in a land war in Asia. Also, don't pick a contract fight with a monster of the art",The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.,78,101
2026-06-22,Theregister.com,Lessons from the VMwars – nothing virtual about the Broadcom vs Tesco slugfest,"Never get involved in a land war in Asia. Also, don't pick a contract fight with a monster of the art","The legal battle between Broadcom and Tesco isn't so much a contract dispute as a serial TV drama. An aggressive organization takes over a renowned operation with blue chip clientele, and puts the sq… [+5325 chars]",78,101
2026-06-20,Theregister.com,Supermarket giant Tesco sues VMware for breach of contract,": Goes after Computacenter too, seeks £100 million damages","UK supermarket giant Tesco has sued Broadcom for breach of contracts pertaining to its VMware licenses, named Computacenter as a co-defendant, and warned it may not be able to put food on the shelves… [+4358 chars]",58,58
2026-06-20,Dailymail.com,How posh is your picnic? Experts reveal what's in and what's out as we pack up the picnic baskets this summer - and how to impress your friends,The humble picnic has had a serious glow-up. Gone are the days of soggy supermarket sandwiches and warm rosé swigged from plastic cups.,"The humble picnic has had a serious glow-up. Gone are the days of soggy supermarket sandwiches and warm rosé swigged from plastic cups. 
Whether you're spreading out a blanket in the park or heading… [+5116 chars]",143,135
2026-06-20,The Irish Times,"Investors put Greencore back on the shelf after merger, even as chairman returns for more",Bakkavor deal was expected to send shares into overdrive but that hasn’t happened,"Leslie Van de Walle, the golf-loving Frenchman and FTSE 350 boardroom grand fromage, has used his chequebook to make his view clear on a recent slump in the value of Greencore, where he is chairman. … [+5845 chars]",89,81
2026-06-20,Dailymail.com,Why Gen Zs are stalking each other on Find My Friends,Scarlett Dargan imagines this week's generational debate,"Gen Z: Im actually spiralling. I have an emergency.
Boomer: For the last time, running out of vape juice is not a crisis.
BFFR*. Its Charlotte. Her dot has gone dark.
Her dot? Youre not making any… [+3643 chars]",53,56
2026-06-20,Dailymail.com,Eight fashion editor-approved beach outfits - including an £8 Tesco sarong,"Hit the beach in stripes, spots and zesty colours for the ultimate in sunny holiday style","Hit the beach in stripes, spots and zesty colours for the ultimate in sunny holiday style 
Bikini top, £8, primark.com. Trousers, £69, harperandyve.com. Sandals, £90, fitflop.com
Top, £29, riverisl… [+757 chars]",74,89
2026-06-20,Dailymail.com,"Has this former Devon seaside idyll become the crack cocaine capital of Britain? As locals beg for police to help, JANE FRYER visits a town ravaged by county lines drugs gangs, violent crime and feral teens","By 8am on a Wednesday, a High Street in Devon is thick with marijuana. It comes from under the arches, where a tangle of bodies is beginning to stir from last night's drugs excesses","By 8am on a wet Wednesday, Ilfracombe High Street is already thick with the sweet scent of marijuana. It comes from under the arches beneath the old town hall, where, most mornings at around this tim… [+13176 chars]",206,181
2026-06-19,Izismile.com,Moments That Capture The UK’s Unique Charm (40 PICS),Moments That Capture The UK’s Unique Charm  (40 PICS),"""The Pub I Am In Has Got A Digital Timetable On The Wall For The Next Due Buses""
""My Parents Obtained The Deeds To Their House... From 1789. This Document Is The Same Age As The Us Constitution!""
""… [+1142 chars]",52,53
2026-06-19,Github.com,Show HN: Pragmatiq – open-source framework for foundational models in banking,"Article URL: https://github.com/dynamiq-ai/pragmatiq
Comments URL: https://news.ycombinator.com/item?id=48601945
Points: 1
# Comments: 0","pragmatiq is a developer-friendly implementation of ideas described in the
PRAGMA paper (arXiv:2604.08649) by
Ostroukhov et al. It turns user histories made of timestamped key-value events
into em… [+42886 chars]",77,136
2026-06-19,RTE,UK supermarket Asda slumps to near £1 billion annual loss,"UK supermarket group Asda slumped to a near £1 billion loss last year, reflecting executive chairman Allan Leighton's push to cut prices in an effort to win back shoppers and a raft of one-off costs.","UK supermarket group Asda slumped to a near £1 billion loss last year, reflecting executive chairman Allan Leighton's push to cut prices in an effort to win back shoppers and a raft of one-off costs.… [+1551 chars]",57,199
2026-06-19,4sysops.com,"Tesco migrates 40,000 servers away from VMware following Broadcom price hikes","Tesco has initiated a massive infrastructure migration to remove VMware software from its fleet of 40,000 servers. This transition follows a legal dispute where the UK supermarket chain sued Broadcom for allegedly failing to honor perpetual licenses purchased…","The conflict intensified after Broadcom shifted to a subscription-only model, resulting in reported price increases of up to 175% for Tesco. Broadcom reportedly ceased providing direct support and se… [+764 chars]",77,260
2026-06-19,Slashdot.org,"Tesco UK supermarket chain removes 40,000 servers from VMware infrastructure — mass exodus continues due to Broadcom's aggressive subscription model","Tesco UK supermarket chain moves 40,000 servers off of VMWare infrastructure &mdash; mass exodus continues thanks to Broadcom's pricing shenanigans",The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.,148,147
2026-06-19,Tom's Hardware UK,"Tesco UK supermarket chain removes 40,000 servers from VMware infrastructure — mass exodus continues due to Broadcom's aggressive subscription model","Tesco UK supermarket chain moves 40,000 servers off of VMWare infrastructure — mass exodus continues thanks to Broadcom's pricing shenanigans","Ever since buying out VMware in 2023, Broadcom has raised prices for existing customers. Although the play did result in massively increased revenue for VMware, it also triggered a slow but steady ex… [+2892 chars]",148,141
2026-06-19,Biztoc.com,Tesco reports £16.82bn group sales for first quarter,"Tesco reported group sales of £16.82bn ($22.19bn) for the quarter ended 30 May 2026, up 1% like-for-like (LfL), with growth across the UK, Ireland and Central Europe.
UK and Ireland sales rose to £13.43bn, up 1.8% LfL (2.6% at constant rates, 2.8% at actual r…","Tesco reported group sales of £16.82bn ($22.19bn) for the quarter ended 30 May 2026, up 1% like-for-like (LfL), with growth across the UK, Ireland and Central Europe.UK and Ireland sales rose to £13.… [+146 chars]",52,260
2026-06-19,Yahoo Entertainment,Tesco reports £16.82bn group sales for first quarter,,"If you click 'Accept all', we and our partners, including 248 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",52,0
2026-06-19,ComputerWeekly.com,Tesco offloads VMware and CA software as Broadcom case rolls on,The contract and licensing dispute with Broadcom over its right to use VMware and CA Technologies has led retailer Tesco to begin an accelerated migration,Tescos latest filing in its legal dispute with Broadcom over contractual obligations for VMware software and support shows that the supermarket giant is actively moving off Broadcom software. The ret… [+3863 chars],63,154
2026-06-19,RTE,Warm weather and promotions boost UK retail sales in May,"British retail sales rose more than expected in May, boosted by good weather and promotions from retailers, despite concerns about the war in Iran pushing up the cost of living, official data showed today.","British retail sales rose more than expected in May, boosted by good weather and promotions from retailers, despite concerns about the war in Iran pushing up the cost of living, official data showed … [+1848 chars]",56,205
2026-06-19,Digiday,"Future of Marketing Briefing: Soccer doesn’t need better marketing, just better marketers",The question was never whether fans would pay attention. It was whether marketers understood them well enough to reward it.,"This Future of Marketing Briefing covers the latest in marketing for Digiday+ members and is distributed over email every Friday at 10 a.m. ET. More from the series →Scott Fenton has a man bun, tatto… [+9578 chars]",89,123
2026-06-18,The Irish Times,European shares fall on hawkish tone from US Federal Reserve,Iseq rises with strong performance from Ryanair,"European shares edged lower on Thursday as investors increased bets on a Federal Reserve rate hike after policymakers struck a hawkish tone, though easing oil prices helped temper inflation concerns.… [+4006 chars]",60,47
2026-06-18,Yahoo Entertainment,Tesco Sinks as Muddy Weather Trumps World Cup Momentum,,"If you click 'Accept all', we and our partners, including 248 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",54,0
2026-06-18,just-drinks.com,UK’s Belvoir Farm unveils functional drinks brand Happi,"The company told Just Drinks it launched the brand ""to disrupt a functional beverage market forced to compromise between health benefits and great taste"".","UK soft drinks firm Belvoir Farm is launching a functional drinks brand in its domestic market - Happi.
The range includes two SKUs, one called Happi Hydration and the other Happi Digestion.
""Desig… [+2269 chars]",55,154
2026-06-18,Dailymail.com,Council suspends contract with enforcement firm after 'thugs in uniform' threatened to rip out man's teeth,"The two 'thugs in uniform', named as Joseph Fernandes (right), 38, and Umar Siddiq (left), 30, were filmed telling a member of the public 'I'm going to knock you the f*** out.'","A council has suspended its contract with an enforcement firm after two of its officers were caught making disturbing threats to beat up a man and rip out his teeth.
The two 'thugs in uniform', name… [+6414 chars]",106,176
2026-06-18,Dailymail.com,"Revealed: The popular UK pet foods that contain the most microplastics - so, is your dog or cat at risk?",Researchers from the University of Exeter and the University of Surrey tested 38 foods from the 19 biggest brands for traces of tiny plastic particles.,"The popular UK pet foods that contain the most microplastics have been revealed in a new study.
Researchers from the University of Exeter and the University of Surrey tested 38 foods from the 19 big… [+11032 chars]",104,151
2026-06-18,The Next Web,"Tesco is migrating 40,000 servers off VMware and suing Broadcom for over GBP 100 million","Tesco, one of Britain’s largest supermarkets, is migrating approximately 40,000 servers away from VMware. It is also suing Broadcom in the UK High Court for more than GBP 100 million, accusing the company of “abusive conduct.” It is one of the largest publicl…","TL;DR
Tesco is migrating 40,000 servers off VMware and suing Broadcom for GBP 100M+. It says Broadcom hiked prices 175% and killed perpetual license support.
Tesco, one of Britains largest supermar… [+2558 chars]",88,260
2026-06-18,The Irish Times,Tesco grows like-for-like sales in Ireland by 3.3% to €967m,"Growth across all Irish channels, supported by a ‘strong performance’ in the food division where sales rose 3.7 per cent, retailer said","British retailer Tesco grew like-for-like sales in the Republic by 3.3 per cent to £838 million (967 million) in its first fiscal quarter, results published by the group on Thursday show.
Tesco said… [+2646 chars]",59,135
2026-06-18,Livemint,Johnnie Walker maker faces axe as 'drastic Dave' orders cost-cutting blitz: Report,"Johnnie Walker maker Diageo is preparing a major restructuring exercise under newly appointed CEO Dave Lewis, according to a report by the Financial Times.&nbsp;","Johnnie Walker maker Diageo's newly appointed chief executive, Dave Lewis, has reportedly instructed senior executives to identify cost-saving measures, including potential reductions in headcount, a… [+2920 chars]",82,161
2026-06-18,TechRadar,"Tesco dumps thousands of servers off VMware, blames 'abusive conduct' from Broadcom","Broadcom's ""abusive conduct"" has landed it in hot water as it faces legal action from Tesco and the loss of 40,000 licenses.","<ul><li>Tesco to move 40,000 of its servers away from VMware</li><li>Broadcom faces legal action from the UK retailer, which alleges ""abusive conduct""</li><li>HPE recently announced free licenses for… [+2264 chars]",83,124
2026-06-18,The Times of India,Tesco CEO Ken Murphy says don't read too much into sales growth slowdown,Tesco's chief executive Ken Murphy stated that a recent slowdown in sales growth should not be overemphasized. He linked the performance to the weather. Last year's sales growth was exceptional due to outstanding weather conditions. Murphy believes the weathe…,"Alpha Trade
Get daily trade ideas from SEBI-registered research analysts.
Investment Ideas
Grow your wealth with stock ideas &amp; sectoral trends.
Stock Reports Plus
All-in-one stock research w… [+512 chars]",72,260
2026-06-18,Biztoc.com,Tesco (LSE:TSCO) Stock Fair Value Edges Higher As Analysts Back Its Ecosystem Push,"Make better investment decisions with Simply Wall St's easy, visual tools that give you a competitive edge.
Tesco’s analyst narrative has been tweaked with a fair value price target now set at £5.16, a marginal change from the previous £5.15 level. This small…","Make better investment decisions with Simply Wall St's easy, visual tools that give you a competitive edge.Tescos analyst narrative has been tweaked with a fair value price target now set at £5.16, a… [+147 chars]",82,260
2026-06-18,RTE,Diageo new CEO tells executives to cut jobs and costs: FT,"Guinness and Johnnie Walker maker Diageo's new boss, Dave Lewis, has asked executives to cut headcount and other costs as he begins restructuring the struggling spirits group, the Financial Times has reported.","Guinness and Johnnie Walker maker Diageo's new boss, Dave Lewis, has asked executives to cut headcount and other costs as he begins restructuring the struggling spirits group, the Financial Times has… [+962 chars]",57,209
2026-06-18,Biztoc.com,Tesco Sales Bolstered by Online Growth,The company reported online growth of 8.9% in the U.K and of 17% in Central Europe.,"The company reported online growth of 8.9% in the U.K and of 17% in Central Europe.
This story appeared on wsj.com, 2026-06-18 06:34:00.",38,83
2026-06-18,RTE,Tesco sales rise despite 'uncertainty' due to Iran war,"Supermarket giant Tesco has revealed an increase in sales over the past three months despite ""uncertainty"" linked to the conflict in the Middle East.","Supermarket giant Tesco has revealed an increase in sales over the past three months despite ""uncertainty"" linked to the conflict in the Middle East.
The retailer revealed that total sales increased… [+1670 chars]",54,149
2026-06-18,The Irish Times,Diageo boss Dave Lewis orders executives to cut jobs as restructuring kicks off,Group’s top team given cost-reduction targets as new CEO tries to revive fortunes of Johnnie Walker maker,"Diageos new chief, Dave Lewis, has instructed his top executives to cut headcount and other costs in their departments, as the turnaround veteran kicks off a significant restructuring of the troubled… [+2896 chars]",79,105
2026-06-18,Naturalnews.com,"Consumer report: Tesco brand fish, dairy and meat products contaminated with ‘forever chemicals’","A bombshell study from campaign group Foodrise and the University of Birmingham tested 30 everyday food items from Tesco, Britain’s largest supermarket chain, and detected PFAS in every single sample. Tesco own-brand items, from cod fillets to whole milk, are…","A bombshell study from campaign group Foodrise and the University of Birmingham tested 30 everyday food items from Tesco, Britain's largest supermarket chain, and detected PFAS in every single sample… [+6652 chars]",96,260
2026-06-18,Slashdot.org,"Tesco Moving 40,000 Server Workloads Off VMware Amid Broadcom's 'Abusive Conduct'","An anonymous reader quotes a report from Ars Technica: Tesco, a retail conglomerate headquartered in the United Kingdom, is moving 40,000 server workloads off of VMware amid ""abusive conduct"" from Broadcom, recent legal filings claim. Tesco filed a lawsuit in…","Tesco, a retail conglomerate headquartered in the United Kingdom, is moving 40,000 server workloads off of VMware amid ""abusive conduct"" from Broadcom, recent legal filings claim. Tesco filed a lawsu… [+2749 chars]",81,260
2026-06-18,Regionalmedianews.com,"Diageo new CEO tells executives to cut jobs and costs, FT reports","June 17 (Reuters) – Johnnie Walker maker Diageo’s new boss, Dave Lewis, has asked executives to cut headcount and other costs as he begins restructuring the struggling spirits group, the Financial Times reported on Wednesday. Lewis, nicknamed “Drastic Dave” f…","June 17 (Reuters) – Johnnie Walker maker Diageo’s new boss, Dave Lewis, has asked executives to cut headcount and other costs as he begins restructuring the struggling spirits group, the Financial Ti… [+1142 chars]",65,260
2026-06-17,Slashdot.org,"Tesco Moving 40,000 Server Workloads Off VMware Amid Broadcom's Abusive Conduct","Tesco, a retail conglomerate headquartered in the United Kingdom, is moving 40,000 server workloads off of VMware amid “abusive conduct” from Broadcom, recent legal filings claim. Tesco filed a lawsuit in the UK’s High Court against Broadcom alleging breach o…","Tesco, a retail conglomerate headquartered in the United Kingdom, is moving 40,000 server workloads off of VMware amid “abusive conduct” from Broadcom, recent legal filings claim. Tesco filed a lawsu… [+2749 chars]",79,260
2026-06-17,Dailymail.com,"Cancer-linked 'forever chemicals' discovered in scores of Tesco own-brand fish, dairy and meat products, experts claim","In what has been described as an 'alarming' revelation, per-and poly fluoroalkyl substances - or PFAS for short - were detected in every food item analysed from the popular supermarket.","Dozens of Tesco's fish, dairy and meat products have been found to contain chemicals linked to liver problems and cancer, according to an 'alarming' new analysis.
Researchers from campaign group Foo… [+7337 chars]",118,185
2026-06-17,Slashdot.org,"Tesco moving 40,000 server workloads off VMware amid Broadcom's “abusive conduct”",Tesco claimed Broadcom hiked its VMware prices by about 175 percent in UK court filings.,"""We are on the verge: Today our program proved Fermat's next-to-last theorem.""
-- Epigrams in Programming, ACM SIGPLAN Sept. 1982",81,88
2026-06-17,Crypto Briefing,"Tesco moves 40,000 server workloads off VMware amid Broadcom lawsuit seeking over £100M","Tesco's legal battle with Broadcom could set a precedent affecting enterprise IT spending, benefiting competitors and reshaping licensing norms.
The post Tesco moves 40,000 server workloads off VMware amid Broadcom lawsuit seeking over £100M appeared first on…","The UK retail giant's legal battle over perpetual license agreements highlights a growing enterprise revolt against Broadcom's subscription-only pivot. Tesco, the UK’s largest retailer, is migrating … [+2987 chars]",87,260
2026-06-17,The Irish Times,European shares advance as investors await details of Iran deal and Fed policy outlook,"Iseq All-Share index closes at fresh all-time high, with banking stocks and home builders in demand","European shares advanced on Wednesday as investors awaited details of the US-Iran peace agreement and the Federal Reserves policy outlook, while auto stocks fell after BMW cut its annual forecast.
T… [+3657 chars]",86,99
2026-06-17,Dailymail.com,On-the-run rapist who fled Britain on Eurostar after being wrongly freed from jail says he was not challenged by anyone at any point on his journey,"Bernadin Dedic, 48, told the Daily Mail he was able to freely leave the country on his Bosnian passport and was not stopped or questioned by British or French authorities.","An on-the-run rapist who fled Britain on the Eurostar after being wrongly released from prison was not stopped by authorities at any point on his flight.
Bernadin Dedic, 48, told the Daily Mail he w… [+4471 chars]",147,171
2026-06-17,Dailymail.com,Inside England's best large hotel - and the foraging experience that ends with a luxury feast (without picking any deadly plants),"From edible flowers to plants that can prove deadly, our writer joins an expert forager at England's best large hotel to discover a surprising bounty growing in the wild.","Two of the mantras uttered by the delightfully eccentric Tom Radford are when the zombies come, head towards the sea and never eat wild watercress. 
An expert forager, this is a man who can tell you… [+3414 chars]",129,170
2026-06-17,Biztoc.com,Tesco is sprinting to quit VMware and Broadcom despite rapid migration risks,"UK retail giant Tesco is replacing VMware with an alternative product and pressing ahead with its licensing lawsuit against the virtualization pioneer's parent company, Broadcom, in a matter due to be heard by the UK's High Court starting in November 2027. Th…","UK retail giant Tesco is replacing VMware with an alternative product and pressing ahead with its licensing lawsuit against the virtualization pioneer's parent company, Broadcom, in a matter due to b… [+148 chars]",76,260
2026-06-17,Slashdot.org,Tesco is sprinting to quit VMware and Broadcom despite rapid migration risks,Supermarket giant has turned to third-party support as court sets date to hear licensing dispute,"""Falling in love makes smoking pot all day look like the ultimate in restraint.""
-- Dave Sim, author of Cerebrus.",76,96
2026-06-17,Theregister.com,Tesco is sprinting to quit VMware and Broadcom despite rapid migration risks,Supermarket giant has turned to third-party support as court sets date to hear licensing dispute,"UK retail giant Tesco is replacing VMware with an alternative product and pressing ahead with its licensing lawsuit against the virtualization pioneer's parent company, Broadcom, in a matter due to b… [+5623 chars]",76,96
2026-06-17,Dailymail.com,'Thugs in uniform' council enforcement officers who threatened to 'rip out' man's teeth are unmasked as it's revealed they 'acted like gangsters' for weeks,"The two 'thugs in uniform' can today be named for the first time as Joseph Fernandes, 38, and Umar Siddiq, 25, both of whom have now been sacked by Harrow council over their aggressive conduct.","A pair of council enforcement officers who caused outrage when they were caught on camera making disturbing threats to beat up a member of the public had been 'acting like gangsters for weeks', the D… [+13208 chars]",155,193
2026-06-17,Dailymail.com,Groceries you should never pay full price for: How you can ALWAYS get a discount on certain products at at least one supermarket,"Branded household staples such as cereal, orange juice and biscuits were discovered in a Which? investigation to be on promotion somewhere every day of the year.","Shoppers in Britain should never pay full price for certain groceries because they are always on offer from at least one major supermarket, a study found today.
Branded household staples such as cer… [+6661 chars]",128,161
2026-06-17,Dailymail.com,The World Cup of crisps: HARRY WALLOP investigates which of our favourite snacks are healthiest to nibble while watching England - and which childhood classics scored 0 out of 10 with our health expert,"This summer, we'll be munching through even more than usual, with almost 60 per cent of us picking crisps as our snack of choice to accompany watching the World Cup.","We eat an astonishing eight billion packets of crisps every year, spending £5.3billion in the process, according to market research company Mintel.
And this summer, well be munching through even mor… [+7240 chars]",201,165
2026-06-16,BBC News,'Traffic was so bad it took two hours to get milk',"Shoppers are left stranded in traffic ""mayhem"" as roadworks gridlock a retail park.","Motorists were left stuck in ""snail's pace"" traffic for hours as roadworks gridlocked a retail park and brought cars to a standstill.
Anson Road, in Martlesham, Suffolk, is partially closed for five… [+2391 chars]",50,83
2026-06-15,Dundelaprimaryschool.co.uk,Sports Day and Healthy Eating week!,"What a fantastic week we have had at Dundela Primary School as we celebrated Healthy Eating Week alongside our much-anticipated Sports Day!
Throughout the week, our pupils embraced the importance of making healthy choices, learning how food fuels both our bo…","What a fantastic week we have had at Dundela Primary School as we celebrated Healthy Eating Week alongside our much-anticipated Sports Day!
Throughout the week, our pupils embraced the importance of… [+618 chars]",35,260
2026-06-15,GSMArena.com,"Samsung UK is offering up to £300 cashback on select phones, tablets, watches and buds","Samsung UK has announced its Summer Cashback promo campaign – you get up to £300 cashback when buying select Galaxy devices. The promo will run until June 23 – here’s how it works.

The promo applies to select phones (SIM-free), tablets, smartwatches and TWS …","Samsung UK has announced its Summer Cashback promo campaign you get up to £300 cashback when buying select Galaxy devices. The promo will run until June 23 heres how it works.
The promo applies to s… [+1015 chars]",86,260
2026-06-15,Dailymail.com,Council report sacked enforcement officers to the police after they threatened to 'rip man's teeth out',A London council has reported two of its enforcement officers who threatened to rip out a man's teeth to the police.,"A London council has reported two of its enforcement officers to the police after they were caught on camera threatening a member of the public. 
The snarling contractors were sacked by Harrow Counc… [+7430 chars]",103,116
2026-06-15,Weandthecolor.com,DASH Water Pink Lady Apple Packaging by Horse Is the Collaboration Design of Summer 2026,"Some cans you pick up at a supermarket and forget immediately. Then there are cans that stop you mid-aisle. The new DASH Water Pink Lady Apple can, designed by London studio Horse, belongs firmly in the second category. I picked one up at Tesco the moment it …","Some cans you pick up at a supermarket and forget immediately. Then there are cans that stop you mid-aisle. The new DASH Water Pink Lady Apple can, designed by London studio Horse, belongs firmly in … [+19836 chars]",88,260
2026-06-14,Dailymail.com,"I'm a wine expert: Here's how you can cut your weekly units in half, avoid a hangover and reduce puffiness - while still drinking just as much, by HELENA NICKLIN","Not much beats sharing a bottle with friends, but, if we're being honest, even a single glass of wine affects us more than we'd like to admit. Dodgy sleep, palpitations, and a plummeting tolerance...","Not much beats sharing a bottle with friends, but, if were being honest, even a single glass of wine affects us more than wed like to admit especially those of us navigating the joys of perimenopause… [+4541 chars]",161,199
2026-06-14,Dailymail.com,How following a trendy high-protein diet could put you at risk of a 'silent killer' disease,"Thousands following high-protein diets promoted by social media influencers are putting themselves at risk, warn experts.","Thousands following high-protein diets promoted by social media influencers are putting themselves at risk of incurable organ failure, warn experts.
Fitness gurus on TikTok and Instagram routinely u… [+4573 chars]",91,121
2026-06-13,Dailymail.com,Council enforcement officers are sacked after they are caught on camera threatening member of the public,"Harrow Council, in northwest London , have sacked two employees who were filmed intimidating a man on the street after accusing him of 'messing with our money'.","This is the moment council enforcement officers threatened to 'knock out' a member of the public.
Harrow Council, in northwest London, has sacked two employees who were filmed intimidating a man on … [+6315 chars]",104,160
2026-06-13,CNA,He runs instead of flies but Singapore's very own Superman is finding a way to leave his own mark,"<![CDATA[ Mr Simon Trevor Wood, a 61-year-old expatriate, has gone viral online as people spot him in public wearing an unusual suit. CNA TODAY's journalist Loraine Lee gives chase to find out who the man in the cape is. ]]>","The discipline to continue improving his fitness carried on well into adulthood and he attributed this to his father, who once served in the military and ran a tight ship at home. 
Mr Wood, who has … [+1827 chars]",97,224
